rough,log_entropy,log_curv,log_convex,log_alpha,log_gmm,object
0.890493825,1.208663584,1.694566035,3.225306271,2.653094524,2.011766059,mussel
0.94518739,1.220233007,1.781854278,3.23706356,2.71150521,2.225961169,mussel
0.956162194,1.175383102,1.05478643,3.209573252,2.582078837,2.294069051,mussel
0.963450379,1.20453856,1.378132751,3.26001371,2.654436762,2.232390991,mussel
1.000959752,1.214227186,1.731272042,3.249298921,2.666602647,2.189853231,mussel
0.973301746,1.217066042,1.52552738,3.265937566,2.678319154,2.073544548,mussel
0.718733244,1.183545299,0.98813914,3.103108253,2.533395589,1.96586534,mussel
0.962533613,1.216810484,1.675597416,3.247606507,2.717846507,2.188310572,mussel
0.764791748,1.22047244,1.60315912,3.167535356,2.591836987,2.0403342,mussel
0.771981969,1.213158125,1.521171243,3.189592688,2.636373537,2.063859514,mussel
0.580862037,1.238612154,1.669883777,3.030215903,2.548674408,1.72770975,oyster
0.447038195,1.216057665,1.189614131,2.930728861,2.277331803,1.51943916,oyster
0.660541901,1.231845287,1.717559997,3.058380877,2.49705299,1.88114286,oyster
0.612909774,1.220267002,1.225152835,3.100364709,2.426536647,1.753855314,oyster
0.733224973,1.224932017,1.410461846,3.161000759,2.449608738,1.979747224,oyster
0.656083334,1.213835095,1.341658609,3.060990003,2.377490064,1.919624926,oyster
0.654536162,1.211520824,1.063131099,3.06699417,2.273241781,2.001810348,oyster
0.678388283,1.227914714,1.478346506,3.090977297,2.402425808,1.861979204,oyster
0.780812879,1.211743184,1.398074319,3.043775583,2.346293373,1.944173705,oyster
0.701575293,1.207595378,1.242581746,3.070200671,2.349726172,1.964437404,oyster